"","GDP.PPP.","Indus Employment","Agri Employment","GHG Emission","Renew Energy","Fossile Fuel","Energy.Use.PC","CO2.Emissions.PC","Population.Total","Protected Area","Paris_Agreement_Code","Polityxconst","UNmentions"
"1",50764671542.0223,20.005504143873,29.5659235536989,17980.5001304703,26.7756752423615,75.0612134344908,346.835764225433,0.472094035318194,28832725.6666667,0.46,1,4,0
"2",27902941745.8705,16.4788807940272,30.1681274817843,8705.97777009056,37.186789847798,60.8013725756245,726.953196381622,1.66908932171051,2906016,1.91,2,7,5
"3",479211839699.17,24.1231682417059,8.87189319277366,172149.789655299,0.209164990919479,99.8647425983857,1159.67936695821,3.35989068669246,36730906,7.46,2,5,7
"4",543419458449.863,18.5175132728358,17.5323520248824,215083.193981986,31.7093500132374,64.5592678196005,2711.6392078239,6.09621662264303,82020.3333333333,19.5,1,5.47804057753588,17
"5",143822841607.609,15.440320879589,37.9306972202293,40855.0696349524,57.3844651322777,40.8976047847677,653.313734092233,1.40811537092418,21949294,4.98,1,3,4
"6",1796308925.66701,20.1785478829517,20.0901909188037,537.201688696977,35.9049250268012,61.1397587938365,2256.74165261356,5.90747666737153,88151.3333333333,0.15,2,4.88600840896899,18
"7",803619494167.907,24.2999998728434,2.23333330949148,372617.572657611,8.89477491513765,89.6398263420939,1911.62063152069,4.57622572024369,41657905,5.37,2,7,2
"8",20375101641.5436,17.2666670481364,38.2666664123535,12043.3883594256,7.98343117211633,72.0946605540364,916.760844968499,1.66397288855613,2969939.66666667,24.75,1,5,1
"9",937058351528.103,20.0999997456868,3.00000007947286,776528.038668219,7.69331770722747,94.8326152773214,5615.2684132065,16.7676468018248,22366676,29.03,2,7,18
"10",366989451708.583,25.9666665395101,4.4333332379659,92315.8712764308,32.4359762055299,68.5988430551157,3984.62697903372,7.75705445560868,8395012.66666667,28.35,2,7,3
"11",145542166866.375,14.0333334604899,37.933334350586,53748.1613089238,3.61719540063048,97.7572549098357,1373.93366136962,3.61976097545005,9174399.33333333,13.97,1,2,2
"12",52082918727.8755,29.1676212407591,-3.45017590224476,31904.0396700829,-5.49966408878799,96.6117474861164,9666.04511057691,22.4656329884852,1300303.33333333,4.41,1,1,6
"13",396277418609.157,18.8767094839761,36.2024512827793,180434.489669856,39.62678933446,72.0580755658724,206.678354465858,0.414905143895095,153426592,3.41,2,3,44
"14",4315193118.83138,19.7999998728434,2.96666661898295,1495.89598547359,9.87671751715746,88.2177050654315,2318.92590827116,5.3192493765899,280582.666666667,0,2,6.95291080281985,25
"15",155437849258.126,33.8333320617676,10.3333333333333,108924.406874129,7.21474989315947,91.478425675311,3073.51704186672,6.66751500841739,9475666.66666667,8.57,2,2,9
"16",448979559506.573,22.8666661580403,1.20000000794729,136306.987597921,6.01126988479405,71.9171919251067,5234.38312089059,9.04262978252627,11023858.6666667,24.25,1,7,2
"17",2600531091.25724,19.3688904129353,20.2202209484552,1534.99146329722,32.2141400387326,67.4154376496235,857.931519146041,1.63950264886027,329169.666666667,18.55,2,6.30032680176485,23
"18",17328507261.1804,16.3947261245154,33.6521325298451,33284.156999658,51.1029335171484,41.8103168978753,385.673080710125,0.542073404805073,9779660.33333333,22.25,2,5,6
"19",5002155460.75264,8.16666666666667,60.5999997456869,3258.99049831736,91.2719065379021,10.3566247478389,1273.92415558656,0.926087452735499,732067.666666667,47.3,1,5,16
"20",56456717109.9442,16.9534410128688,17.8248418948447,448536.399309454,31.4004101632981,83.8242572672232,690.857506001895,1.6568095434985,10078415,24.83,2,6,8
"21",35888425078.5738,18.2898788967888,20.626243616554,26377.8585457028,16.3331974426157,92.5323605338488,1766.79490664956,5.86484658365429,3831995.66666667,1.28,1,2.9515306732642,6
"22",28373191457.6568,19.1320334003704,24.2443659248592,81884.5228350122,24.1664545680244,65.1478953408291,1033.8494036481,2.17782898723758,2090119.66666667,29.15,2,7,25
"23",2954792791883.62,22.8333339691162,17.9938872432231,2948233.69801352,45.368294204817,54.8662052574869,1359.04951717047,2.20902208288274,200511125.333333,20.37,2,6,11
"24",29034266201.8843,26.6968528542152,-2.13495609639304,14482.3522025002,-8.20110890032277,106.908211185061,9126.49026151389,22.9768335307764,399419,29.68,2,4.91536391324609,4
"25",114151012109.458,32.1666673024495,6.53333330154419,69611.5440665323,14.4648031459362,73.4623235064042,2515.44522276932,6.27410689311447,7349938.33333333,31.46,1,7,9
"26",23710148612.2303,17.0174483299096,37.6961767312076,43658.8205966425,71.6494436842735,26.8913321290315,720.708733574968,0.140420060583802,16109910,15.47,2,6,12
"27",6977067194.45932,15.6054864735089,38.2951249584808,6149.11631021609,79.2861652928339,20.2680159006164,927.220225118351,0.0250298213498819,9791946.66666667,6.89,1,4,7
"28",38736858393.4011,16.0168547584248,43.1924003277088,126836.848145464,72.7294705230698,29.1959228558838,379.513863064189,0.357898451234397,14596313.3333333,20.61,1,5,41
"29",55328484427.0391,13.6394175432239,42.2383440322105,100377.322090075,78.3851855613676,28.4150087248717,325.817684884802,0.295106802021506,21123073,10.65,2,2,1
"30",1421280897798.55,19.8333333333333,2.16666666666667,941561.170727198,20.6486665457332,73.6116423440857,7378.37583650439,14.2751453016015,34366510,6.24,2,7,2
"31",4076675250.09073,14.5764640888788,34.1758643863537,513288.761209527,73.3007884431268,30.0505715266611,731.804795739331,0.0614707320207924,4531792,18.09,2,0,8
"32",23575985988.9095,16.075256555098,40.68462943925,109463.357939087,78.6229700652144,22.9587388895597,414.600221261076,0.0433248475765195,12303452.3333333,17.78,1,2,6
"33",348532184798.273,23.5,10.6333332061768,117544.856534998,28.6540320978,74.7750771870818,1968.87419197542,4.50331972607728,17201596.6666667,6.85,1,7,4
"34",13768246321359.2,46.455953926732,2.22988687111506,11900927.0692167,18.4860520717385,87.8684007240765,1973.08552995016,7.06941042567247,1344176666.66667,15.61,2,3,8
"35",529710455297.848,20.2666664123535,18.0666669209798,170102.404623829,26.8745706878012,76.0853512979597,675.597995830283,1.67052885249203,46401855,17.37,1,6,4
"36",966484033.000427,18.004620923903,33.8039000844475,554.059502322431,51.4607005424723,50.7941877362481,512.169581400907,0.197870453556688,716109.333333333,2.38,1,7,11
"37",60307634176.8311,19.5999997456868,14.1666666666667,11984.4630376081,40.4796700419035,47.8700121858486,1016.5828320502,1.67220153171494,4599969.33333333,3.05,2,7,9
"38",87498576639.2165,28.3666667938232,11.9666668574015,30682.4019984446,18.8720567288257,80.9016756927049,1921.80154719419,4.52313980863565,4321987,23.69,1,7,8
"39",214501498581.645,17.7666670481364,19.1666666666667,51123.911633484,18.5679402631697,87.0729724611312,984.177684034939,3.25313599749079,11324778,5.03,1,3,8
"40",27798074221.803,20.7000001271566,2.66666666666666,7549.10872315368,7.37694370024555,94.8167578395339,2101.85956458245,6.58708188660234,1116544,2.03,1,7,5
"41",297401152790.618,38.466667175293,3.03333330154419,143092.529704835,10.2184981591341,78.3124906258587,4123.11260595472,10.1502481682648,10493761,21.11,1,7,4
"42",240309007364.213,19.8333333333333,2.30000003178914,58599.4528147009,24.2667888682112,74.5947518077802,3279.63682434864,7.40482195822681,5569942.33333333,17.95,2,7,19
"43",2347130062.85456,18.7288089528849,28.1009648583899,2699.25296529119,38.4062762365696,58.102862779588,425.720255065318,0.596796658331367,841891,1.05,2,4,6
"44",724496746.748542,19.4051662149487,25.7227070189357,217.177512274552,20.6158059548924,79.6120048674757,790.546614007353,1.88274136153089,71418,0.55,2,6,42
"45",114021598330.206,16.9000002543132,13.6333332061767,32547.316909879,13.2341282915911,87.0908804703465,748.000037741037,2.20983828479973,10026719.6666667,11.2,1,6,5
"46",149834350197.599,18,28.0999997456868,51553.6447033367,12.840910817568,88.8965164981258,932.518324475991,2.59532908951043,15177155,15.43,1,4,14
"47",45954314661.6215,21.2333329518636,21.1333332061767,12283.4166658416,34.0526187252956,46.9102420284036,709.107389883594,1.11173894654266,6055249,2.05,1,6,7
"48",27950354257.9081,19.2806873688949,19.5885952319323,6238.79601095501,29.5409482640268,67.5609166023371,3164.12775578416,7.65712006163106,751119,2.12,1,1,3
"49",5544411992.27065,14.9262627415204,37.1992622418121,4911.85129957678,80.8162805937518,21.7962508504629,-23.4194907406803,-0.455990880848182,21283424.5081304,3.06,1,2,0
"50",31600831504.3697,31.8999996185303,4.19999996821086,23479.5837221177,25.0073254633978,19.6708617572704,4211.61804895832,13.6468074713052,1327203.33333333,19.85,2,7,7
"51",104213948025.284,18.7547463449701,26.7124550470834,184036.414013917,93.9733081967308,4.98495671415473,481.606067310247,0.084691740735017,89870573.6666667,18.4,1,3,10
"52",6596959710.12287,22.8842826133352,18.6803796594511,2211.77940608014,19.1634751024196,76.0292165715196,878.854643566729,1.83962966818169,867145.666666667,0.97,2,4,12
"53",214042290939.745,23.0666662851969,3.96666661898295,76523.0343476055,35.920177302219,46.3407294414249,6539.77508276488,10.3576043679497,5388531.66666667,14.07,2,7,15
"54",2423864855314.01,22.0666669209798,2.83333333333333,511312.109945186,12.0253841975248,48.9795840699427,3907.55213852807,5.18988865697207,65343359.3333333,25.73,2,6,11
"55",26849629950.3948,15.9255351273563,37.1900502072908,34316.3137705249,68.7224808436714,41.3641925545758,1383.942411451,2.87147824608062,1577574.33333333,12.28,2,4,19
"56",28309631900.3273,17.268337444733,29.3268601381016,14134.0577876196,33.4508688890204,70.6437447578803,892.909223707104,1.70481334158881,3875333.33333333,6.45,1,6,1
"57",3411247561532.54,28.4333330790202,1.46666665871938,943087.909568532,11.5222510765969,80.185476320404,3890.59112558053,9.13946374299222,81333475.3333333,38.46,2,7,18
"58",84664156920.5802,17.2297075370515,35.4222220658934,107114.400845265,53.2046739787244,50.7836722258702,319.423265945967,0.42291816413893,24930267.3333333,7.79,2,6,13
"59",298394436797.161,18.0999997456868,11.9666665395101,104363.694452544,12.0470064936807,90.438497708629,2432.17673661946,7.33897437360236,11090417,8.56,2,7,7
"60",1171505099.17032,19.143256481084,17.2254588551597,704.842599095272,25.6373249682369,71.2541318783575,775.338002138672,2.4893593800805,105074.333333333,0.05,2,6.90385862332471,41
"61",101967800126.579,18.8336999739752,36.853722108792,30931.0836338369,66.4074680444903,31.4858619042834,712.235918484807,0.785789161006984,15050100,15.72,1,7,17
"62",13405073058.7591,5.66666666666667,74.6333363850911,100812.473433687,82.0709632207184,23.0359109301134,-64.3960813564958,0.234681871223844,11319174.6666667,20.34,2,4,7
"63",2288554990.87468,13.7606920898296,39.6347484918985,7570.75638522041,69.6499866825746,33.8016818151798,541.942887408116,0.146744418425945,1674108.33333333,10.38,1,6,10
